sample_idx,t_s,t_rel_peak_s,ecg_mv
59500,595,-5,-0.4743
59501,595.01,-4.99,-0.4647
59502,595.02,-4.98,-0.3353
59503,595.03,-4.97,-0.3098
59504,595.04,-4.96,-0.4028
59505,595.05,-4.95,-0.2987
59506,595.06,-4.94,-0.1112
59507,595.07,-4.93,-0.1535
59508,595.08,-4.92,-0.024
59509,595.09,-4.91,0.3978
59510,595.1,-4.9,0.0332
59511,595.11,-4.89,-0.0303
59512,595.12,-4.88,0.1807
59513,595.13,-4.87,0.0825
59514,595.14,-4.86,-0.0821
59515,595.15,-4.85,0.1473
59516,595.16,-4.84,0.1168
59517,595.17,-4.83,0.206
59518,595.18,-4.82,0.2934
59519,595.19,-4.81,0.2126
59520,595.2,-4.8,0.1143
59521,595.21,-4.79,0.2587
59522,595.22,-4.78,0.2224
59523,595.23,-4.77,0.2122
59524,595.24,-4.76,0.0469
59525,595.25,-4.75,-0.0365
59526,595.26,-4.74,0.1007
59527,595.27,-4.73,0.0863
59528,595.28,-4.72,0.0784
59529,595.29,-4.71,0.0498
59530,595.3,-4.7,0.371
59531,595.31,-4.69,1.6876
59532,595.32,-4.68,1.4786
59533,595.33,-4.67,-0.3526
59534,595.34,-4.66,-0.8608
59535,595.35,-4.65,-0.7898
59536,595.36,-4.64,-0.6113
59537,595.37,-4.63,-0.1188
59538,595.38,-4.62,-0.2271
59539,595.39,-4.61,-0.2782
59540,595.4,-4.6,-0.1437
59541,595.41,-4.59,-0.1387
59542,595.42,-4.58,-0.1516
59543,595.43,-4.57,-0.0471
59544,595.44,-4.56,-0.252
59545,595.45,-4.55,-0.4116
59546,595.46,-4.54,-0.2349
59547,595.47,-4.53,-0.1643
59548,595.48,-4.52,-0.1076
59549,595.49,-4.51,-0.0308
59550,595.5,-4.5,-0.0704
59551,595.51,-4.49,0.0186
59552,595.52,-4.48,0.0985
59553,595.53,-4.47,0.2681
59554,595.54,-4.46,0.2496
59555,595.55,-4.45,0.1532
59556,595.56,-4.44,0.1073
59557,595.57,-4.43,0.0837
59558,595.58,-4.42,-0.0287
59559,595.59,-4.41,0.1471
59560,595.6,-4.4,0.3624
59561,595.61,-4.39,0.2662
59562,595.62,-4.38,0.2462
59563,595.63,-4.37,0.2148
59564,595.64,-4.36,0.274
59565,595.65,-4.35,0.0258
59566,595.66,-4.34,0.1145
59567,595.67,-4.33,0.1047
59568,595.68,-4.32,-0.1183
59569,595.69,-4.31,-0.1403
59570,595.7,-4.3,-0.0256
59571,595.71,-4.29,-0.0388
59572,595.72,-4.28,0.0842
59573,595.73,-4.27,0.8068
59574,595.74,-4.26,1.8044
59575,595.75,-4.25,1.1828
59576,595.76,-4.24,-0.6327
59577,595.77,-4.23,-0.9447
59578,595.78,-4.22,-0.4742
59579,595.79,-4.21,-0.2397
59580,595.8,-4.2,-0.3013
59581,595.81,-4.19,-0.1802
59582,595.82,-4.18,-0.1869
59583,595.83,-4.17,-0.2228
59584,595.84,-4.16,-0.2535
59585,595.85,-4.15,-0.1879
59586,595.86,-4.14,-0.0687
59587,595.87,-4.13,-0.2829
59588,595.88,-4.12,-0.1303
59589,595.89,-4.11,-0.0985
59590,595.9,-4.1,-0.131
59591,595.91,-4.09,-0.3037
59592,595.92,-4.08,-0.1395
59593,595.93,-4.07,0.0761
59594,595.94,-4.06,0.0583
59595,595.95,-4.05,0.3871
