sample_idx,t_s,t_rel_peak_s,ecg_mv
59683,596.83,-3.17,-0.0908
59684,596.84,-3.16,0.1186
59685,596.85,-3.15,-0.0161
59686,596.86,-3.14,-0.115
59687,596.87,-3.13,-0.0586
59688,596.88,-3.12,-0.0336
59689,596.89,-3.11,0.0287
59690,596.9,-3.1,-0.1186
59691,596.91,-3.09,0.136
59692,596.92,-3.08,0.1944
59693,596.93,-3.07,0.0014
59694,596.94,-3.06,-0.1195
59695,596.95,-3.05,0.0201
59696,596.96,-3.04,-0.1046
59697,596.97,-3.03,0.0064
59698,596.98,-3.02,0.1935
59699,596.99,-3.01,-0.1
59700,597,-3,-0.1408
59701,597.01,-2.99,0.4213
59702,597.02,-2.98,1.8549
59703,597.03,-2.97,4.0182
59704,597.04,-2.96,3.67
59705,597.05,-2.95,-0.658
59706,597.06,-2.94,-1.0975
59707,597.07,-2.93,-0.4503
59708,597.08,-2.92,-0.3426
59709,597.09,-2.91,-0.5065
59710,597.1,-2.9,-0.2279
59711,597.11,-2.89,-0.1728
59712,597.12,-2.88,-0.1442
59713,597.13,-2.87,-0.3114
59714,597.14,-2.86,-0.3228
59715,597.15,-2.85,-0.2423
59716,597.16,-2.84,-0.2769
59717,597.17,-2.83,-0.3622
59718,597.18,-2.82,-0.3105
59719,597.19,-2.81,-0.2571
59720,597.2,-2.8,-0.4833
59721,597.21,-2.79,-0.2972
59722,597.22,-2.78,-0.3507
59723,597.23,-2.77,-0.3083
59724,597.24,-2.76,-0.2565
59725,597.25,-2.75,-0.3266
59726,597.26,-2.74,-0.1581
59727,597.27,-2.73,0.0732
59728,597.28,-2.72,0.2352
59729,597.29,-2.71,0.3978
59730,597.3,-2.7,0.3569
59731,597.31,-2.69,0.1979
59732,597.32,-2.68,0.2015
59733,597.33,-2.67,0.1013
59734,597.34,-2.66,-0.0623
59735,597.35,-2.65,-0.0442
59736,597.36,-2.64,-0.0684
59737,597.37,-2.63,-0.0171
59738,597.38,-2.62,-0.0753
59739,597.39,-2.61,-0.0087
59740,597.4,-2.6,0.1884
59741,597.41,-2.59,0.2192
59742,597.42,-2.58,0.0889
59743,597.43,-2.57,0.1443
59744,597.44,-2.56,0.0279
59745,597.45,-2.55,-0.1009
59746,597.46,-2.54,0.1767
59747,597.47,-2.53,0.0884
59748,597.48,-2.52,-0.087
59749,597.49,-2.51,-0.1037
59750,597.5,-2.5,0.0464
59751,597.51,-2.49,0.1638
59752,597.52,-2.48,0.0683
59753,597.53,-2.47,-0.097
59754,597.54,-2.46,-0.0519
59755,597.55,-2.45,-0.1419
59756,597.56,-2.44,-0.1302
59757,597.57,-2.43,0.134
59758,597.58,-2.42,0.0303
59759,597.59,-2.41,0.0153
59760,597.6,-2.4,0.2426
59761,597.61,-2.39,1.3316
59762,597.62,-2.38,3.8779
59763,597.63,-2.37,4.8826
59764,597.64,-2.36,0.9048
59765,597.65,-2.35,-0.9036
59766,597.66,-2.34,0.0723
59767,597.67,-2.33,-0.0153
59768,597.68,-2.32,-0.0428
59769,597.69,-2.31,-0.2147
59770,597.7,-2.3,-0.1921
59771,597.71,-2.29,-0.1197
59772,597.72,-2.28,-0.0721
59773,597.73,-2.27,-0.0749
59774,597.74,-2.26,-0.0542
59775,597.75,-2.25,-0.1905
59776,597.76,-2.24,-0.1926
59777,597.77,-2.23,-0.2814
59778,597.78,-2.22,-0.2646
59779,597.79,-2.21,-0.2835
59780,597.8,-2.2,-0.2715
59781,597.81,-2.19,-0.292
59782,597.82,-2.18,-0.3073
59783,597.83,-2.17,-0.2938
59784,597.84,-2.16,-0.1164
59785,597.85,-2.15,0.0233
59786,597.86,-2.14,0.2432
59787,597.87,-2.13,0.3067
59788,597.88,-2.12,0.4631
59789,597.89,-2.11,0.543
59790,597.9,-2.1,0.4714
59791,597.91,-2.09,0.3304
59792,597.92,-2.08,0.1824
59793,597.93,-2.07,0.0463
59794,597.94,-2.06,-0.0808
59795,597.95,-2.05,0.1622
59796,597.96,-2.04,0.1239
59797,597.97,-2.03,-0.0401
59798,597.98,-2.02,0.0212
59799,597.99,-2.01,0.0355
59800,598,-2,-0.0051
59801,598.01,-1.99,0.021
59802,598.02,-1.98,-0.0513
59803,598.03,-1.97,-0.0078
59804,598.04,-1.96,0.1042
59805,598.05,-1.95,0.3689
59806,598.06,-1.94,0.2608
59807,598.07,-1.93,0.1769
59808,598.08,-1.92,0.1902
59809,598.09,-1.91,0.2046
59810,598.1,-1.9,0.3077
59811,598.11,-1.89,0.4055
59812,598.12,-1.88,0.0659
59813,598.13,-1.87,-0.0977
59814,598.14,-1.86,0.0274
59815,598.15,-1.85,0.0974
59816,598.16,-1.84,0.0337
59817,598.17,-1.83,0.1084
59818,598.18,-1.82,0.0644
59819,598.19,-1.81,0.5926
59820,598.2,-1.8,2.1585
59821,598.21,-1.79,4.1904
59822,598.22,-1.78,2.883
59823,598.23,-1.77,-0.9379
59824,598.24,-1.76,-0.8467
59825,598.25,-1.75,-0.3362
59826,598.26,-1.74,-0.3346
59827,598.27,-1.73,-0.2572
59828,598.28,-1.72,-0.4649
59829,598.29,-1.71,-0.6001
59830,598.3,-1.7,-0.3682
59831,598.31,-1.69,-0.2741
59832,598.32,-1.68,-0.4465
59833,598.33,-1.67,-0.4099
59834,598.34,-1.66,-0.281
59835,598.35,-1.65,-0.4384
59836,598.36,-1.64,-0.0327
59837,598.37,-1.63,-0.2017
59838,598.38,-1.62,-0.3844
59839,598.39,-1.61,-0.2698
59840,598.4,-1.6,-0.3118
59841,598.41,-1.59,-0.294
59842,598.42,-1.58,-0.2294
59843,598.43,-1.57,0.1086
59844,598.44,-1.56,0.2391
59845,598.45,-1.55,0.2007
59846,598.46,-1.54,0.5204
59847,598.47,-1.53,0.6004
59848,598.48,-1.52,0.5156
59849,598.49,-1.51,0.484
59850,598.5,-1.5,0.2364
59851,598.51,-1.49,0.0852
59852,598.52,-1.48,0.0077
59853,598.53,-1.47,0.105
59854,598.54,-1.46,0.0871
59855,598.55,-1.45,-0.1016
59856,598.56,-1.44,-0.0749
59857,598.57,-1.43,-0.0132
59858,598.58,-1.42,-0.0474
59859,598.59,-1.41,-0.0144
59860,598.6,-1.4,-0.2577
59861,598.61,-1.39,-0.0276
59862,598.62,-1.38,-0.0396
59863,598.63,-1.37,-0.0718
59864,598.64,-1.36,0.2011
59865,598.65,-1.35,-0.0018
59866,598.66,-1.34,0.2602
59867,598.67,-1.33,0.1901
59868,598.68,-1.32,0.2372
59869,598.69,-1.31,0.481
59870,598.7,-1.3,0.496
59871,598.71,-1.29,0.1884
59872,598.72,-1.28,0.1483
59873,598.73,-1.27,0.0787
59874,598.74,-1.26,0.0745
59875,598.75,-1.25,0.0386
59876,598.76,-1.24,-0.0403
59877,598.77,-1.23,-0.0351
59878,598.78,-1.22,-0.0578
59879,598.79,-1.21,0.9923
59880,598.8,-1.2,2.9634
59881,598.81,-1.19,4.4808
59882,598.82,-1.18,1.074
59883,598.83,-1.17,-1.4522
59884,598.84,-1.16,-0.6001
59885,598.85,-1.15,-0.6496
59886,598.86,-1.14,-0.5855
59887,598.87,-1.13,-0.499
59888,598.88,-1.12,-0.5737
59889,598.89,-1.11,-0.4689
59890,598.9,-1.1,-0.3232
59891,598.91,-1.09,-0.5539
59892,598.92,-1.08,-0.4145
59893,598.93,-1.07,-0.466
59894,598.94,-1.06,-0.4172
59895,598.95,-1.05,-0.4674
59896,598.96,-1.04,-0.3209
59897,598.97,-1.03,-0.3622
59898,598.98,-1.02,-0.4906
59899,598.99,-1.01,-0.3246
59900,599,-1,-0.402
59901,599.01,-0.99,-0.3088
59902,599.02,-0.98,-0.1424
59903,599.03,-0.97,0.1065
59904,599.04,-0.96,0.4228
59905,599.05,-0.95,0.4311
59906,599.06,-0.94,0.5661
59907,599.07,-0.93,0.8477
59908,599.08,-0.92,0.7598
59909,599.09,-0.91,0.5015
59910,599.1,-0.9,0.4608
59911,599.11,-0.89,0.4617
59912,599.12,-0.88,0.3033
59913,599.13,-0.87,0.2634
59914,599.14,-0.86,0.051
59915,599.15,-0.85,0.1921
59916,599.16,-0.84,0.0921
59917,599.17,-0.83,0.0559
59918,599.18,-0.82,0.0257
59919,599.19,-0.81,0.2827
59920,599.2,-0.8,0.3811
59921,599.21,-0.79,-0.0425
59922,599.22,-0.78,0.0563
59923,599.23,-0.77,0.1943
59924,599.24,-0.76,0.2427
59925,599.25,-0.75,-0.0661
59926,599.26,-0.74,0.3216
59927,599.27,-0.73,0.3038
59928,599.28,-0.72,0.0513
59929,599.29,-0.71,0.0904
59930,599.3,-0.7,0.157
59931,599.31,-0.69,-0.041
59932,599.32,-0.68,-0.151
59933,599.33,-0.67,-0.2241
59934,599.34,-0.66,-0.2922
59935,599.35,-0.65,-0.4779
59936,599.36,-0.64,-0.2927
59937,599.37,-0.63,-0.1221
59938,599.38,-0.62,-0.2099
59939,599.39,-0.61,-0.1612
59940,599.4,-0.6,1.8573
59941,599.41,-0.59,4.2588
59942,599.42,-0.58,2.6895
59943,599.43,-0.57,-0.5339
59944,599.44,-0.56,-1.0634
59945,599.45,-0.55,-0.7636
59946,599.46,-0.54,0.0849
59947,599.47,-0.53,-0.0406
59948,599.48,-0.52,-0.7092
59949,599.49,-0.51,-0.9836
59950,599.5,-0.5,-0.0771
59951,599.51,-0.49,-0.7405
59952,599.52,-0.48,-0.4702
59953,599.53,-0.47,-0.0127
59954,599.54,-0.46,-0.3752
59955,599.55,-0.45,-0.3131
